Peso (kg),LVIDd_Min,LVIDd_Max,IVSd_Min,IVSd_Max,LVPWd_Min,LVPWd_Max,LVIDs_Min,LVIDs_Max,IVSs_Min,IVSs_Max,LVPWs_Min,LVPWs_Max,EDV_Min,EDV_Max,ESV_Min,ESV_Max,SV_Min,SV_Max,Ao_Min,Ao_Max,LA_Min,LA_Max,LA_Ao_Min,LA_Ao_Max,EF_Min,EF_Max,FS_Min,FS_Max,Vmax_Ao_Min,Vmax_Ao_Max,Vmax_Pulm_Min,Vmax_Pulm_Max,MV_E_Min,MV_E_Max,MV_A_Min,MV_A_Max,MV_EA_Min,MV_EA_Max,MV_DT_Min,MV_DT_Max,MV_Slope_Min,MV_Slope_Max,IVRT_Min,IVRT_Max,E_IVRT_Min,E_IVRT_Max,TR_Vmax_Min,TR_Vmax_Max,MR_Vmax_Min,MR_Vmax_Max
3.0,18.0,26.0,4.0,8.0,4.0,8.0,10.0,18.0,6.0,10.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
4.0,19.0,28.0,4.0,8.0,4.0,8.0,11.0,19.0,6.0,11.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
6.0,22.0,31.0,4.0,9.0,4.0,9.0,12.0,22.0,7.0,12.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
9.0,24.0,34.0,7.0,10.0,5.0,10.0,14.0,25.0,8.0,14.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
11.0,26.0,37.0,5.0,11.0,5.0,10.0,15.0,27.0,8.0,14.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
15.0,28.0,41.0,6.0,11.0,5.0,11.0,17.0,30.0,8.0,15.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
20.0,31.0,45.0,6.0,12.0,6.0,12.0,18.0,32.0,9.0,16.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
25.0,33.0,42.0,6.0,13.0,6.0,13.0,20.0,35.0,9.0,17.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
30.0,35.0,50.0,6.0,13.0,6.0,13.0,21.0,37.0,10.0,18.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
35.0,36.0,53.0,7.0,14.0,7.0,14.0,22.0,39.0,10.0,19.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
40.0,38.0,55.0,7.0,14.0,7.0,14.0,23.0,40.0,10.0,19.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
50.0,40.0,58.0,7.0,15.0,7.0,15.0,24.0,43.0,11.0,20.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
60.0,42.0,62.0,8.0,16.0,7.0,16.0,26.0,46.0,11.0,21.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
70.0,44.0,65.0,8.0,16.0,8.0,16.0,27.0,48.0,12.0,22.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,50.0,85.0,25.0,45.0,0.0,2.2,0.0,2.2,0.5,1.09,0.3,0.8,1.0,2.0,0.0,160.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.8,0.0,6.0
